"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","AVOCADOS, BEARING - APPLICATIONS, MEASURED IN LB  -  <b>VALUE</b>","AVOCADOS, BEARING - APPLICATIONS, MEASURED IN LB  -  <b>CV (%)</b>","AVOCADOS, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG  -  <b>VALUE</b>","AVOCADOS, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG  -  <b>CV (%)</b>","AVOCADOS, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG  -  <b>VALUE</b>","AVOCADOS, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG  -  <b>CV (%)</b>","AVOCADOS, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG  -  <b>VALUE</b>","AVOCADOS, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG  -  <b>CV (%)</b>","AVOCADOS, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG  -  <b>VALUE</b>","AVOCADOS, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG  -  <b>CV (%)</b>"
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","AVOCADOS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FOSETYL-AL = 123301)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","AVOCADOS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MEFENOXAM = 113502)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","AVOCADOS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MONO-POTASSIUM SALT = 76416)","2,600","","3.093","","4.556","","1.5","","1",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","AVOCADOS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (SULFUR = 77501)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","AVOCADOS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TOTAL)","4,000","","","","","","","","3",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","AVOCADOS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (CARFENTRAZONE-ETHYL = 128712)","300","","0.007","","0.101","","15.3","","7",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","AVOCADOS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLUFOSINATE-AMMONIUM = 128850)","200","","0.259","","0.324","","1.3","","1",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","AVOCADOS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE ISO. SALT = 103601)","32,300","","0.411","","3.552","","8.6","","19",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","AVOCADOS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE POT. SALT = 103613)","84,900","","1.522","","7.114","","4.7","","26",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","AVOCADOS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (MESOTRIONE = 122990)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
