"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","BLUEBERRIES, BEARING - APPLICATIONS, MEASURED IN LB  -  <b>VALUE</b>","BLUEBERRIES, BEARING - APPLICATIONS, MEASURED IN LB  -  <b>CV (%)</b>","BLUEBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG  -  <b>VALUE</b>","BLUEBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG  -  <b>CV (%)</b>","BLUEBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG  -  <b>VALUE</b>","BLUEBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG  -  <b>CV (%)</b>","BLUEBERRIES, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG  -  <b>VALUE</b>","BLUEBERRIES, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG  -  <b>CV (%)</b>","BLUEBERRIES, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG  -  <b>VALUE</b>","BLUEBERRIES, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG  -  <b>CV (%)</b>"
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","BLUEBERRIES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (AZOXYSTROBIN = 128810)","11,100","","0.195","","0.39","","2","","33",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","BLUEBERRIES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)"," (NA)",""," (NA)",""," (NA)","","1.2","","1",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","BLUEBERRIES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS SUBTILIS = 6479)"," (NA)",""," (NA)",""," (NA)","","2.4","","5",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","BLUEBERRIES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BASIC COPPER SULFATE = 8101)","1,200","","1.546","","2.157","","1.4","","1",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","BLUEBERRIES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BORAX DECAHYDRATE = 11102)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","BLUEBERRIES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BOSCALID = 128008)","5,100","","0.314","","0.394","","1.3","","15",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","BLUEBERRIES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BT SUBSP KURSTAKI EVB-113-19 = 6544)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","BLUEBERRIES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CALCIUM POLYSULFIDE = 76702)","182,400","","5.495","","6.601","","1.2","","33",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","BLUEBERRIES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CAPTAN = 81301)","226,200","","1.787","","5.245","","2.9","","50",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","BLUEBERRIES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CEREVISANE = 100055)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","BLUEBERRIES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CHLOROTHALONIL = 81901)","53,500","","2.15","","3.255","","1.5","","19",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","BLUEBERRIES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER CARBONATE = 22901)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","BLUEBERRIES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER CHLORIDE HYD. = 23501)","1,300","","0.535","","0.547","","1","","3",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","BLUEBERRIES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER HYDROXIDE = 23401)","19,400","","1.196","","1.706","","1.4","","13",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","BLUEBERRIES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER OXIDE = 25601)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","BLUEBERRIES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER SULFATE = 24401)","3,500","","0.138","","0.326","","2.4","","13",""
