"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","BROCCOLI - APPLICATIONS, MEASURED IN LB  -  <b>VALUE</b>","BROCCOLI - APPLICATIONS, MEASURED IN LB  -  <b>CV (%)</b>","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG  -  <b>VALUE</b>","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG  -  <b>CV (%)</b>","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG  -  <b>VALUE</b>","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG  -  <b>CV (%)</b>","BROCCOLI - APPLICATIONS, MEASURED IN NUMBER, AVG  -  <b>VALUE</b>","BROCCOLI - APPLICATIONS, MEASURED IN NUMBER, AVG  -  <b>CV (%)</b>","BROCCOLI - TREATED, MEASURED IN PCT OF AREA PLANTED, AVG  -  <b>VALUE</b>","BROCCOLI - TREATED, MEASURED IN PCT OF AREA PLANTED, AVG  -  <b>CV (%)</b>"
"SURVEY","2016","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (AMETOCTRADIN = 119210)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (AZOXYSTROBIN = 128810)","4,700","","0.153","","0.173","","1.1","","22",""
"SURVEY","2016","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS SUBTILIS = 6479)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BOSCALID = 128008)","500","","0.388","","0.397","","1","","1",""
"SURVEY","2016","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CHLOROTHALONIL = 81901)","2,900","","0.975","","1.033","","1.1","","2",""
"SURVEY","2016","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CONIOTHYRIUM MINITAN = 28836)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER HYDROXIDE = 23401)","100","","0.222","","0.262","","1.2",""," (Z)",""
"SURVEY","2016","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER OCTANOATE = 23306)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER OXIDE = 25601)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2016","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYPRODINIL = 288202)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
