	id	text
0	BLUEBERRIES	AMMONIUM PELARGONATE
1	BLUEBERRIES	ACETOCHLOR
2	BLUEBERRIES	COPPER OCTANOATE
3	BLUEBERRIES	INDOXACARB
4	BLUEBERRIES	SIMAZINE
5	BLUEBERRIES	REYNOUTRIA SACHALINE
6	BLUEBERRIES	FAMOXADONE
7	BLUEBERRIES	IRON PHOSPHATE
8	BLUEBERRIES	CLORANSULAM-METHYL
9	BLUEBERRIES	DIURON
10	BLUEBERRIES	BACILLUS AMYLOLIQUEFACIENS STRAIN D747
11	BLUEBERRIES	ATRAZINE
12	BLUEBERRIES	FLUTOLANIL
13	BLUEBERRIES	DIMETHENAMID-P
14	BLUEBERRIES	ACEPHATE
15	BLUEBERRIES	OXYTETRACYCLINE CALC
16	BLUEBERRIES	CLOPYRALID MONO SALT
17	BLUEBERRIES	AUREOBASIDIUM PULLULANS DSM 14940
18	BLUEBERRIES	BROMACIL
19	BLUEBERRIES	S-METOLACHLOR
20	BLUEBERRIES	BACILLUS PUMILUS
21	BLUEBERRIES	MESOTRIONE
22	BLUEBERRIES	MONO-POTASSIUM SALT
23	BLUEBERRIES	INDOLEBUTYRIC ACID
24	BLUEBERRIES	CAPTAN
25	BLUEBERRIES	FLUMETSULAM
26	BLUEBERRIES	PRONAMIDE
27	BLUEBERRIES	BACILLUS AMYLOLIQUEFAC F727
28	BLUEBERRIES	BACILLUS SUBT. GB03
29	BLUEBERRIES	AZOXYSTROBIN
30	BLUEBERRIES	ESFENVALERATE
31	BLUEBERRIES	FLUDIOXONIL
32	BLUEBERRIES	BEAUVERIA BASSIANA
33	BLUEBERRIES	FENPROPATHRIN
34	BLUEBERRIES	NAA, POTASSIUM SALT
35	BLUEBERRIES	TRIFLOXYSTROBIN
36	BLUEBERRIES	CLETHODIM
37	BLUEBERRIES	QUINCLORAC
38	BLUEBERRIES	CHLOROPHACINONE
39	BLUEBERRIES	AZADIRACHTIN
40	BLUEBERRIES	FLUOPYRAM
41	BLUEBERRIES	HEXAZINONE
42	BLUEBERRIES	ZETA-CYPERMETHRIN
43	BLUEBERRIES	BT ISRAELENSIS AM 65-52
44	BLUEBERRIES	PROPICONAZOLE
45	BLUEBERRIES	ABAMECTIN
46	BLUEBERRIES	BURKHOLDERIA A396 CELLS & MEDIA
47	BLUEBERRIES	ALKYL. DIM. BENZ. AM
48	BLUEBERRIES	2,4-D, DIMETH. SALT
49	BLUEBERRIES	NOVALURON
50	BLUEBERRIES	TRICHODERMA ASPERELLUM STRAIN ICC 012
51	BLUEBERRIES	TETRADECEN-1-OL (Z)
52	BLUEBERRIES	SPIROTETRAMAT
53	BLUEBERRIES	POLYOXIN D ZINC SALT
54	BLUEBERRIES	BT KURSTAKI SA-11
55	BLUEBERRIES	TRICHODERMA GAMISII STRAIN ICC 080
56	BLUEBERRIES	DICAMBA
57	BLUEBERRIES	D-LIMONENE
58	BLUEBERRIES	NEEM OIL, CLAR. HYD.
59	BLUEBERRIES	CHLOROTHALONIL
60	BLUEBERRIES	COPPER OXIDE
61	BLUEBERRIES	CYANAMID
62	BLUEBERRIES	QUINOLINE
63	BLUEBERRIES	METALDEHYDE
64	BLUEBERRIES	BT SUBSP KURSTAKI EVB-113-19
65	BLUEBERRIES	BACILLUS SUBTILIS
66	BLUEBERRIES	INDAZIFLAM
67	BLUEBERRIES	FERRIC SODIUM EDTA
68	BLUEBERRIES	CAPRYLIC ACID
69	BLUEBERRIES	COPPER CHLORIDE HYD.
70	BLUEBERRIES	LAMBDA-CYHALOTHRIN
71	BLUEBERRIES	RIMSULFURON
72	BLUEBERRIES	METHOXYFENOZIDE
73	BLUEBERRIES	BENTAZON
74	BLUEBERRIES	METRIBUZIN
75	BLUEBERRIES	MYCLOBUTANIL
76	BLUEBERRIES	PROPAMOCARB HYDROCH.
77	BLUEBERRIES	CHOLECALCIFEROL
78	BLUEBERRIES	CARBARYL
79	BLUEBERRIES	PEROXYACETIC ACID
80	BLUEBERRIES	TERBACIL
81	BLUEBERRIES	2,4-D, BEE
82	BLUEBERRIES	TEBUCONAZOLE
83	BLUEBERRIES	BT KURSTAKI ABTS-351
84	BLUEBERRIES	GLYPHOSATE POT. SALT
85	BLUEBERRIES	TRICHODERMA HARZ.
86	BLUEBERRIES	FENBUCONAZOLE
87	BLUEBERRIES	IPRODIONE
88	BLUEBERRIES	ORYZALIN
89	BLUEBERRIES	AUREOBASIDIUM PULLULANS DSM 14941
90	BLUEBERRIES	BT KURSTAK ABTS-1857
91	BLUEBERRIES	CHLORPYRIFOS
92	BLUEBERRIES	MEFENOXAM
93	BLUEBERRIES	COPPER HYDROXIDE
94	BLUEBERRIES	CYANTRANILIPROLE
95	BLUEBERRIES	NORFLURAZON
96	BLUEBERRIES	BT SUBSP KURSTAKI STRAIN EVB-113-19
97	BLUEBERRIES	DIMETHOMORPH
98	BLUEBERRIES	PETROLEUM DISTILLATE
99	BLUEBERRIES	CEREVISANE
100	BLUEBERRIES	DIQUAT DIBROMIDE
101	BLUEBERRIES	FENHEXAMID
102	BLUEBERRIES	PYRIMETHANIL
103	BLUEBERRIES	FORCHLORFENURON
104	BLUEBERRIES	OXYFLUORFEN
105	BLUEBERRIES	DIPHACINONE
106	BLUEBERRIES	COPPER SULFATE
107	BLUEBERRIES	PENDIMETHALIN
108	BLUEBERRIES	DIMETHOATE
109	BLUEBERRIES	MINERAL OIL
110	BLUEBERRIES	CYTOKININS
111	BLUEBERRIES	TRIETHYLAMINE TRICLO
112	BLUEBERRIES	IMIDACLOPRID
113	BLUEBERRIES	ZINC PHOSPHIDE
114	BLUEBERRIES	CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA
115	BLUEBERRIES	SWINGLEA GLUTINOSA
116	BLUEBERRIES	MALATHION
117	BLUEBERRIES	ISOXABEN
118	BLUEBERRIES	ZIRAM
119	BLUEBERRIES	PENOXSULAM
120	BLUEBERRIES	METHOMYL
121	BLUEBERRIES	TETRACONAZOLE
122	BLUEBERRIES	PYRETHRINS
123	BLUEBERRIES	STREPTOMYCES LYDICUS
124	BLUEBERRIES	CYMOXANIL
125	BLUEBERRIES	PROTHIOCONAZOLE
126	BLUEBERRIES	PROMETRYN
127	BLUEBERRIES	METCONAZOLE
128	BLUEBERRIES	BOSCALID
129	BLUEBERRIES	BASIC COPPER SULFATE
130	BLUEBERRIES	SULFENTRAZONE
131	BLUEBERRIES	PIPERONYL BUTOXIDE
132	BLUEBERRIES	SULFUR
133	BLUEBERRIES	CUPRAMMONIUM ACETATE
134	BLUEBERRIES	DIAZINON
135	BLUEBERRIES	POTASSIUM BICARBON.
136	BLUEBERRIES	ISOFETAMID
137	BLUEBERRIES	BORAX DECAHYDRATE
138	BLUEBERRIES	THIOPHANATE-METHYL
139	BLUEBERRIES	TEA TREE OIL
140	BLUEBERRIES	BT KURSTAKI SA-12
141	BLUEBERRIES	GLYPHOSATE ISO. SALT
142	BLUEBERRIES	FLUAZIFOP-P-BUTYL
143	BLUEBERRIES	CALCIUM POLYSULFIDE
144	BLUEBERRIES	SETHOXYDIM
145	BLUEBERRIES	FLUPYRADIFURONE
146	BLUEBERRIES	CAPRIC ACID
147	BLUEBERRIES	DICHLOBENIL
148	BLUEBERRIES	THIAMETHOXAM
149	BLUEBERRIES	HYDROGEN PEROXIDE
150	BLUEBERRIES	BUTOXYETHYL TRICLOPY
151	BLUEBERRIES	POTASSIUM SILICATE
152	BLUEBERRIES	TEBUFENOZIDE
153	BLUEBERRIES	METHYL ANTHRANILATE
154	BLUEBERRIES	PARAQUAT
155	BLUEBERRIES	DIFENOCONAZOLE
156	BLUEBERRIES	FLUXAPYROXAD
157	BLUEBERRIES	PELARGONIC ACID
158	BLUEBERRIES	GIBBERELLIC ACID
159	BLUEBERRIES	TRIFLUMIZOLE
160	BLUEBERRIES	MANCOZEB
161	BLUEBERRIES	GLUFOSINATE-AMMONIUM
162	BLUEBERRIES	SPINETORAM
163	BLUEBERRIES	CYPRODINIL
164	BLUEBERRIES	PHOSMET
165	BLUEBERRIES	POTASSIUM PHOSPHATE
166	BLUEBERRIES	CARFENTRAZONE-ETHYL
167	BLUEBERRIES	FOSETYL-AL
168	BLUEBERRIES	SPINOSAD
169	BLUEBERRIES	DIDECYL DIM. AMMON.
170	BLUEBERRIES	PYRACLOSTROBIN
171	BLUEBERRIES	DIMETHYLDIOCTYL
172	BLUEBERRIES	DECYLDIMETHYLOCTYL
173	BLUEBERRIES	FLUMIOXAZIN
174	BLUEBERRIES	FLUAZINAM
175	BLUEBERRIES	PERMETHRIN
176	BLUEBERRIES	CHLORANTRANILIPROLE
177	BLUEBERRIES	CHLORIMURON-ETHYL
178	BLUEBERRIES	PROPAZINE
179	BLUEBERRIES	GLYPHOSATE
180	BLUEBERRIES	TRIFLURALIN
181	BLUEBERRIES	BIFENTHRIN
182	BLUEBERRIES	HARPIN A B PROTEIN
183	BLUEBERRIES	ACETAMIPRID
184	BLUEBERRIES	GLYPHOSATE AMM. SALT
185	BLUEBERRIES	HALOSULFURON-METHYL
186	BLUEBERRIES	NAPROPAMIDE
187	PEACHES	FLUTRIAFOL
188	PEACHES	BETA-CYFLUTHRIN
189	PEACHES	LAMINARIN
190	PEACHES	FENPYROXIMATE
191	PEACHES	COPPER OCTANOATE
192	PEACHES	INDOXACARB
193	PEACHES	CLOTHIANIDIN
194	PEACHES	SIMAZINE
195	PEACHES	REYNOUTRIA SACHALINE
196	PEACHES	E-8-DODECENYL ACETAT
197	PEACHES	IRON PHOSPHATE
198	PEACHES	METHYL BROMIDE
199	PEACHES	BT KURSTAKI BMP123
200	PEACHES	DIURON
201	PEACHES	BACILLUS AMYLOLIQUEFACIENS STRAIN D747
202	PEACHES	OXYTETRACYCLINE CALC
203	PEACHES	GAMMA-CYHALOTHRIN
204	PEACHES	FARNESOL
205	PEACHES	CLOPYRALID MONO SALT
206	PEACHES	AUREOBASIDIUM PULLULANS DSM 14940
207	PEACHES	CARBON
208	PEACHES	ENDOSULFAN
209	PEACHES	2,4-D, DIETH. SALT
210	PEACHES	S-METOLACHLOR
211	PEACHES	BACILLUS PUMILUS
212	PEACHES	OCTADECADIEN (Z,Z)
213	PEACHES	MONO-POTASSIUM SALT
214	PEACHES	INDOLEBUTYRIC ACID
215	PEACHES	CAPTAN
216	PEACHES	ALUMINUM PHOSPHIDE
217	PEACHES	AZOXYSTROBIN
218	PEACHES	ESFENVALERATE
219	PEACHES	FLUDIOXONIL
220	PEACHES	METAM-SODIUM
221	PEACHES	FENPROPATHRIN
222	PEACHES	CHLORETHOXYFOS
223	PEACHES	TRIFLOXYSTROBIN
224	PEACHES	CLETHODIM
225	PEACHES	DECENYL ACETATE
226	PEACHES	CHLOROPHACINONE
227	PEACHES	AZADIRACHTIN
228	PEACHES	FLUOPYRAM
229	PEACHES	ZETA-CYPERMETHRIN
230	PEACHES	CITRONELLOL
231	PEACHES	THIACLOPRID
232	PEACHES	PROPICONAZOLE
233	PEACHES	NAA, SODIUM
234	PEACHES	NICOSULFURON
235	PEACHES	ABAMECTIN
236	PEACHES	BURKHOLDERIA A396 CELLS & MEDIA
237	PEACHES	FENBUTATIN-OXIDE
238	PEACHES	2,4-D, DIMETH. SALT
239	PEACHES	NOVALURON
240	PEACHES	BIFENAZATE
241	PEACHES	ORTHOPHENYLPHENOL
242	PEACHES	STRYCHNINE
243	PEACHES	SPIROTETRAMAT
244	PEACHES	2,4-D, 2-EHE
245	PEACHES	POLYOXIN D ZINC SALT
246	PEACHES	BENZYLCHLOROPHENOL
247	PEACHES	A. FLAVUS NRRL 21882
248	PEACHES	MESOSULFURON-METHYL
249	PEACHES	PYRIPROXYFEN
250	PEACHES	NEEM OIL, CLAR. HYD.
251	PEACHES	CHLOROTHALONIL
252	PEACHES	COPPER OXIDE
253	PEACHES	PYRIDABEN
254	PEACHES	CYANAMID
255	PEACHES	QUINOLINE
256	PEACHES	STREPTOMYCIN SULFATE
257	PEACHES	FLUROXYPYR 1-MHE
258	PEACHES	BT SUBSP KURSTAKI EVB-113-19
259	PEACHES	BACILLUS SUBTILIS
260	PEACHES	CYD-X GRANULO. VIRUS
261	PEACHES	FERRIC SODIUM EDTA
262	PEACHES	CAPRYLIC ACID
263	PEACHES	INDAZIFLAM
264	PEACHES	ULOCLADIUM OUDEMANSII U3
265	PEACHES	COPPER CHLORIDE HYD.
266	PEACHES	CYDIA POMONELLA GRANULOVIRUS V22
267	PEACHES	LAMBDA-CYHALOTHRIN
268	PEACHES	RIMSULFURON
269	PEACHES	METHOXYFENOZIDE
270	PEACHES	CHLOROPICRIN
271	PEACHES	BROMOXYNIL OCTANOATE
272	PEACHES	METRIBUZIN
273	PEACHES	MYCLOBUTANIL
274	PEACHES	PROPAMOCARB HYDROCH.
275	PEACHES	Z-8-DODECEN ACETATE
