document_id	matched_term	object_label	object_id
1002	nitrogen	dinitrogen	CHEBI:17997
1002	nitrogen	nitrogen atom	CHEBI:25555
1003	protein	protein	CHEBI:36080
1003	protein	protein polypeptide chain	CHEBI:16541
1004	lipid	lipid	CHEBI:18059
1005	carbohydrate	carbohydrate	CHEBI:16646
1007	ash	hydridoarsenic(2.) (triplet)	CHEBI:33104
1009	starch	starch	CHEBI:28017
1010	sucrose	sucrose	CHEBI:17992
1011	glucose	glucose	CHEBI:17234
1011	glucose	d-glucopyranose	CHEBI:4167
1011	glucose	aldehydo-d-glucose	CHEBI:42758
1011	dextrose	d-glucopyranose	CHEBI:4167
1011	dextrose	aldehydo-d-glucose	CHEBI:42758
1011	dextrose	d-glucose	CHEBI:17634
1012	fructose	fructose	CHEBI:28757
1012	fructose	beta-d-fructofuranose	CHEBI:28645
1013	lactose	lactose	CHEBI:17716
1013	lactose	alpha-lactose	CHEBI:36219
1013	lactose	beta-lactose	CHEBI:36218
1014	maltose	maltose	CHEBI:17306
1014	maltose	alpha-maltose	CHEBI:18167
1050	carbohydrate	carbohydrate	CHEBI:16646
1051	water	water	CHEBI:15377
1075	galactose	galactose	CHEBI:28260
1087	calcium	calcium atom	CHEBI:22984
1087	calcium	calcium(0)	CHEBI:29320
1087	ca	calcium atom	CHEBI:22984
1089	iron	iron atom	CHEBI:18248
1089	fe	phe-glu	CHEBI:74712
1089	fe	iron atom	CHEBI:18248
1090	magnesium	magnesium atom	CHEBI:25107
1090	mg	magnesium atom	CHEBI:25107
1091	phosphorus	phosphorus atom	CHEBI:28659
1091	phosphorus	tetraphosphorus	CHEBI:35895
1091	p	l-proline residue	CHEBI:50342
1091	p	l-proline	CHEBI:17203
1091	p	phosphorus atom	CHEBI:28659
1092	potassium	potassium atom	CHEBI:26216
1092	k	l-lysine residue	CHEBI:29967
1092	k	l-lysine	CHEBI:18019
1092	k	lysine	CHEBI:25094
1092	k	potassium atom	CHEBI:26216
1093	sodium	sodium atom	CHEBI:26708
1093	na	sodium atom	CHEBI:26708
1094	sulfur	polysulfur	CHEBI:17909
1094	sulfur	sulfur atom	CHEBI:26833
1094	s	l-serine residue	CHEBI:29999
1094	s	l-serine	CHEBI:17115
1094	s	polysulfur	CHEBI:17909
1094	s	sulfur atom	CHEBI:26833
1095	zinc	zinc atom	CHEBI:27363
1095	zinc	zinc(0)	CHEBI:30185
1095	zn	zinc atom	CHEBI:27363
1097	cobalt	chlorpyrifos	CHEBI:34631
1097	cobalt	cobalt atom	CHEBI:27638
1097	co	cobalt atom	CHEBI:27638
1098	cu	copper(ii) sulfide	CHEBI:51110
1098	copper	copper atom	CHEBI:28694
1098	copper	copper(0)	CHEBI:30052
1098	cu	copper atom	CHEBI:28694
1100	iodine	diiodine	CHEBI:17606
1100	iodine	iodine atom	CHEBI:24859
1100	i	l-isoleucine residue	CHEBI:30009
1100	i	l-isoleucine	CHEBI:17191
1100	i	iodine atom	CHEBI:24859
1101	mn	met-asn-ser	CHEBI:137270
1101	manganese	manganese atom	CHEBI:18291
1101	manganese	manganese(0)	CHEBI:35154
1101	mn	met-asn	CHEBI:141442
1101	mn	manganese atom	CHEBI:18291
1102	molybdenum	molybdenum atom	CHEBI:28685
1102	mo	molybdenum atom	CHEBI:28685
1103	selenium	selenium atom	CHEBI:27568
1103	se	ser-glu	CHEBI:74813
1103	se	selenium atom	CHEBI:27568
1104	vitamin	vitamin (role)	CHEBI:33229
1104	vitamin a	vitamin a	CHEBI:12777
1104	vitamin a	all-trans-retinol	CHEBI:17336
1104	a	l-alanine residue	CHEBI:46217
1104	a	l-alanine	CHEBI:16977
1104	a	acceptor	CHEBI:15339
1104	a	adenine	CHEBI:16708
1104	a	adenosine residue	CHEBI:62885
1104	a	alanine	CHEBI:16449
1104	a	hydrogen acceptor	CHEBI:13193
1105	retinol	retinol	CHEBI:50211
1105	retinol	13-cis-retinol	CHEBI:45479
