id	subject	predicate	object	category	relation	provided_by	source
uuid:517b79e8-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:116509	biolink:Association			usda_acup
uuid:517b9342-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:131366	biolink:Association			usda_acup
uuid:517ba5c6-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:132053	biolink:Association			usda_acup
uuid:517bb6f6-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:132300	biolink:Association			usda_acup
uuid:517bc7cc-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:133237	biolink:Association			usda_acup
uuid:517bd794-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:133305	biolink:Association			usda_acup
uuid:517be748-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:133997	biolink:Association			usda_acup
uuid:517bf706-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:134069	biolink:Association			usda_acup
uuid:517c0764-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:137425	biolink:Association			usda_acup
uuid:517c1880-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:140503	biolink:Association			usda_acup
uuid:517c288e-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:142824	biolink:Association			usda_acup
uuid:517c38b0-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:142860	biolink:Association			usda_acup
uuid:517c485a-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:16240	biolink:Association			usda_acup
uuid:517c5854-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:17362	biolink:Association			usda_acup
uuid:517c6830-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:190301	biolink:Association			usda_acup
uuid:517c7870-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:23414	biolink:Association			usda_acup
uuid:517c8bf8-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:23414	biolink:Association			usda_acup
uuid:517c9d50-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:23866	biolink:Association			usda_acup
uuid:517cae8a-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:26276	biolink:Association			usda_acup
uuid:517cbede-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:26833	biolink:Association			usda_acup
uuid:517cd40a-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:27338	biolink:Association			usda_acup
uuid:517ce602-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:27496	biolink:Association			usda_acup
uuid:517cf66a-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:27744	biolink:Association			usda_acup
uuid:517d0696-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:27744	biolink:Association			usda_acup
uuid:517d16c2-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:28837	biolink:Association			usda_acup
uuid:517d278e-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:28909	biolink:Association			usda_acup
uuid:517d3742-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:28973	biolink:Association			usda_acup
uuid:517d4700-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:29022	biolink:Association			usda_acup
uuid:517d56a0-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:2953	biolink:Association			usda_acup
uuid:517d665e-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:2962	biolink:Association			usda_acup
uuid:517d7e3c-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:30813	biolink:Association			usda_acup
uuid:517d93ae-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:3093	biolink:Association			usda_acup
uuid:517da4fc-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:31953	biolink:Association			usda_acup
uuid:517db550-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:32158	biolink:Association			usda_acup
uuid:517dc5b8-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:32687	biolink:Association			usda_acup
uuid:517dd53a-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:32888	biolink:Association			usda_acup
uuid:517de4b2-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:33070	biolink:Association			usda_acup
uuid:517df448-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:3390	biolink:Association			usda_acup
uuid:517e03e8-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:3416	biolink:Association			usda_acup
uuid:517e13a6-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:34608	biolink:Association			usda_acup
uuid:517e2350-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:34631	biolink:Association			usda_acup
uuid:517e34c6-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:34682	biolink:Association			usda_acup
uuid:517e459c-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:34714	biolink:Association			usda_acup
uuid:517e5b9a-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:34837	biolink:Association			usda_acup
uuid:517e6d2e-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:34905	biolink:Association			usda_acup
uuid:517e7e4a-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:34911	biolink:Association			usda_acup
uuid:517e9092-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:34935	biolink:Association			usda_acup
uuid:517ea15e-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:35014	biolink:Association			usda_acup
uuid:517eb1c6-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:3639	biolink:Association			usda_acup
uuid:517ec1f2-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:38449	biolink:Association			usda_acup
uuid:517ed200-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:38473	biolink:Association			usda_acup
uuid:517ee20e-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:38495	biolink:Association			usda_acup
uuid:517ef258-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:38539	biolink:Association			usda_acup
uuid:517f0252-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:38592	biolink:Association			usda_acup
uuid:517f12c4-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:38626	biolink:Association			usda_acup
uuid:517f232c-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:38630	biolink:Association			usda_acup
uuid:517f336c-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:38639	biolink:Association			usda_acup
uuid:517f438e-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:38660	biolink:Association			usda_acup
uuid:517f53ba-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:38663	biolink:Association			usda_acup
uuid:517f63dc-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:38680	biolink:Association			usda_acup
uuid:517f73cc-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:38786	biolink:Association			usda_acup
uuid:517f859c-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:38798	biolink:Association			usda_acup
uuid:517f9a8c-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:39098	biolink:Association			usda_acup
uuid:517fab8a-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:39163	biolink:Association			usda_acup
uuid:517fc070-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:39175	biolink:Association			usda_acup
uuid:517fd7e0-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:39178	biolink:Association			usda_acup
uuid:517fecd0-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:39183	biolink:Association			usda_acup
uuid:517ffe64-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:39185	biolink:Association			usda_acup
uuid:51800f9e-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:39211	biolink:Association			usda_acup
uuid:518020ba-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:39214	biolink:Association			usda_acup
uuid:518031ea-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:39233	biolink:Association			usda_acup
uuid:5180436a-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:39260	biolink:Association			usda_acup
uuid:5180545e-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:39285	biolink:Association			usda_acup
uuid:51806660-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:39290	biolink:Association			usda_acup
uuid:518077cc-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:39291	biolink:Association			usda_acup
uuid:518089a6-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:39300	biolink:Association			usda_acup
uuid:51809a86-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:39314	biolink:Association			usda_acup
uuid:5180abb6-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:39315	biolink:Association			usda_acup
